	YEAR	MONTH	DAY	HOUR	MIN	  LAT	LON	P_hail_BC2019	MIN10PCT	MIN19PCT	MIN37PCT	MIN85PCT	FLAG
	2016	01	19	12	13	 -27.23	 126.80	0.894		281.4698	237.8441	164.8660	 67.7195	1
	2016	01	19	12	13	 -27.97	 122.42	0.429		295.5331	257.0604	210.4326	110.4952	1
	2016	01	19	12	14	 -28.55	 127.71	0.576		281.1680	258.8775	170.4041	 76.6271	1
	2016	01	19	12	14	 -28.88	 123.05	0.879		288.8759	237.1348	178.9464	 98.0580	1
	2016	01	20	11	20	 -25.38	 127.73	0.715		293.7955	248.5225	181.1508	 65.5405	1
	2016	01	20	21	04	 -35.54	 129.93	0.301		273.7601	261.5678	212.4601	121.1416	1
	2016	01	20	21	04	 -34.98	 129.74	0.314		270.7911	260.5160	209.6884	128.7814	1
	2016	01	21	10	30	 -29.79	 142.62	0.333		302.0996	267.5861	198.3265	 67.0607	1
	2016	01	22	11	07	 -18.62	 123.82	0.338		299.9791	267.2366	191.0238	 75.8817	1
	2016	01	24	09	22	 -18.10	 138.03	0.207		297.4942	269.0284	222.0694	 89.8323	1
	2016	01	24	09	22	 -19.11	 142.97	0.747		278.2444	251.9546	159.4080	 63.0916	1
	2016	01	24	20	46	 -16.51	 131.25	0.296		287.5684	266.9941	201.5012	 74.9816	1
	2016	01	25	08	29	 -22.29	 145.72	0.289		291.2397	264.5156	203.9893	 82.3044	1
	2016	01	27	08	14	 -12.39	 135.24	0.269		291.3275	269.8075	199.0554	 65.0660	1
	2016	01	27	08	18	 -20.85	 144.28	0.235		306.2497	270.6818	211.4860	 78.4932	1
	2016	01	27	08	20	 -26.82	 147.06	0.274		292.9920	265.9576	192.8048	 68.2070	1
	2016	01	27	08	20	 -27.10	 147.96	0.218		286.5643	270.3773	217.0275	 91.2662	1
	2016	01	27	19	41	 -17.05	 133.10	0.219		287.5438	270.9481	204.3961	 62.9870	1
	2016	01	28	17	09	 -41.65	 148.14	0.208		278.4261	269.5261	221.6664	113.4995	1
	2016	01	29	08	10	 -34.24	 150.12	0.394		274.6720	252.7560	210.2002	129.6406	1
	2016	01	30	07	14	 -23.34	 148.87	0.309		289.2115	267.0303	202.2843	 72.6741	1
	2016	01	30	07	15	 -25.55	 152.34	0.647		281.7536	256.8179	163.5203	 70.2224	1
	2016	01	30	16	58	 -36.92	 151.47	0.555		272.0121	256.1473	182.7014	 72.0806	1
	2016	02	02	06	10	 -25.09	 152.11	0.344		283.4284	263.8448	201.7093	 93.2471	1
	2016	02	15	14	02	 -13.58	 131.76	0.207		289.6367	264.8619	204.4819	 90.3275	1
	2016	02	22	02	51	 -38.30	 124.00	0.268		274.7331	265.6710	212.3201	 98.9346	1
	2016	02	27	11	20	 -21.87	 117.73	0.210		308.0819	267.4168	204.6344	 86.1240	1
	2016	03	02	09	27	 -13.94	 131.85	0.214		294.6794	267.9515	213.1622	 94.0014	1
	2016	03	02	09	27	 -14.42	 130.29	0.881		276.5803	243.1690	142.3210	 56.0180	1
	2016	03	03	21	50	 -17.15	 140.58	0.336		281.0154	267.1983	196.5784	 77.9414	1
	2016	03	04	09	13	 -19.30	 122.32	0.503		316.2203	259.7449	192.2979	 72.9089	1
	2016	03	04	09	14	 -15.23	 126.59	0.258		284.6859	267.0175	207.2939	 84.8079	1
	2016	03	04	09	14	 -14.85	 126.20	0.306		286.2394	263.2925	205.7934	 82.6252	1
	2016	03	06	07	26	 -30.12	 133.77	0.229		308.6333	271.5113	205.1018	 88.8426	1
	2016	03	06	09	02	 -17.67	 123.18	0.289		311.9149	270.1193	199.7633	 65.8153	1
	2016	03	06	09	02	 -16.45	 124.20	0.259		301.4911	270.1302	201.9433	 88.0829	1
	2016	03	07	08	09	 -19.71	 125.07	0.264		309.8353	266.5869	207.3473	102.7426	1
	2016	03	08	07	14	 -28.15	 131.27	0.556		297.7052	258.1629	189.3546	 87.6441	1
	2016	03	12	20	15	 -30.31	 126.99	0.244		309.1848	264.4355	208.8738	117.8835	1
	2016	03	13	06	00	 -28.37	 130.14	0.213		320.5248	271.5908	213.7891	 91.5424	1
	2016	03	13	06	01	 -27.79	 133.79	0.216		306.7904	270.8737	214.8989	101.2316	1
	2016	03	14	03	34	 -35.89	 153.14	0.239		277.2314	267.7515	215.5367	 92.7461	1
	2016	03	20	17	58	 -22.66	 127.84	0.740		288.3837	252.6485	163.7697	 71.8916	1
	2016	03	21	03	45	 -26.26	 127.01	0.340		303.0476	266.0398	195.7827	 79.3770	1
	2016	06	23	21	50	 -40.05	 154.14	0.434		265.6944	261.4014	212.8716	104.9560	1
	2016	09	28	09	18	 -29.55	 139.65	0.297		280.3174	264.2572	216.2139	130.7610	0
	2016	09	28	09	18	 -30.01	 139.78	0.582		277.4859	244.2296	189.5207	102.5996	1
	2016	09	28	09	18	 -30.99	 140.23	0.427		289.5844	259.1248	204.7903	108.9351	0
	2016	09	28	09	18	 -32.83	 140.45	0.291		286.5483	259.7740	210.2662	127.9430	0
	2016	09	28	09	19	 -33.80	 140.70	0.331		277.8575	265.0605	212.2647	119.4997	0
	2016	09	29	08	28	 -34.19	 153.41	0.632		271.4650	256.7953	191.3382	 96.2915	1
	2016	09	29	08	28	 -35.29	 153.83	0.363		268.1313	264.0495	208.0861	106.0108	1
	2016	10	03	06	26	  -9.13	 147.14	0.234		283.1082	269.2495	194.0774	 73.7116	1
	2016	10	31	10	53	 -13.80	 131.50	0.525		293.1711	261.6596	184.8887	 73.6330	1
	2016	11	08	07	02	 -25.67	 142.68	0.206		307.4129	262.9145	222.6287	162.5252	0
	2016	11	08	07	02	 -25.31	 142.34	0.224		314.0717	258.8629	217.9805	147.7233	0
	2016	11	08	07	02	 -26.68	 147.27	0.376		292.5479	258.6616	214.8603	118.4127	1
	2016	11	09	06	09	 -31.81	 152.24	0.249		278.0335	268.0421	211.6789	113.1862	1
	2016	11	09	06	09	 -30.74	 153.12	0.663		277.6304	255.2881	185.1156	102.2818	1
	2016	11	09	07	46	 -15.01	 130.68	0.355		310.4403	262.1223	193.0683	 86.1418	1
	2016	11	09	07	46	 -13.71	 131.14	0.388		294.3969	264.2699	189.7686	 81.8688	1
	2016	11	10	06	51	 -27.55	 136.81	0.725		301.1669	252.7099	177.6971	 66.3852	1
	2016	11	10	06	51	 -27.07	 136.88	0.641		316.0351	252.2554	190.4654	110.0026	1
	2016	11	10	06	51	 -26.27	 136.55	0.206		316.5116	266.6823	223.2610	122.9569	0
	2016	11	11	05	57	 -35.81	 139.29	0.337		267.8730	251.4099	215.7018	140.0315	0
	2016	11	11	05	57	 -34.77	 138.24	0.489		265.0358	251.7064	199.9897	119.6153	0
	2016	11	11	05	58	 -31.72	 140.09	0.215		324.5107	262.5494	222.9148	140.8524	0
	2016	11	12	05	08	 -27.53	 153.13	0.300		278.5982	265.0771	204.8348	 82.7399	1
	2016	11	12	05	08	 -27.26	 152.79	0.200		283.2683	269.6204	214.5189	 97.8188	1
	2016	11	12	05	08	 -25.59	 152.58	0.392		287.7662	260.6623	188.6552	 88.1080	1
	2016	11	12	05	09	 -24.66	 151.83	0.732		283.0185	239.6337	184.3654	 81.2025	1
	2016	11	12	06	44	 -17.80	 139.44	0.948		282.5831	224.1508	139.1967	 56.4088	1
	2016	11	13	05	52	 -15.39	 142.37	0.305		300.8801	263.2341	200.0250	 87.4432	1
	2016	11	14	06	33	 -14.14	 130.30	0.332		295.6951	264.9581	191.1479	 76.5217	1
	2016	11	28	23	43	 -36.28	 154.77	0.471		274.6264	261.3600	197.5509	 89.1171	1
	2016	11	29	14	37	 -16.17	 135.31	0.213		296.7740	263.7054	202.6266	 90.4650	1
	2016	12	01	14	26	 -14.57	 129.15	0.829		276.7159	240.4550	160.1279	 68.5850	1
	2016	12	05	12	38	 -28.42	 153.91	0.347		266.9510	259.0857	201.6937	107.0363	1
	2016	12	05	12	39	 -29.84	 153.03	0.520		274.6568	250.6194	191.3539	 85.3826	1
	2016	12	06	11	47	 -28.35	 153.28	0.528		281.2608	255.9430	187.7381	 91.2745	1
	2016	12	08	11	37	 -25.49	 151.06	0.363		284.8852	262.6751	205.0915	 94.7078	1
	2016	12	08	11	39	 -35.03	 152.24	0.412		269.7272	252.7582	200.7730	102.3014	1
